,State County FIPS,Postal Code,Name,Median Household Income
652,"17 , 119",IL,Madison County,43835
653,"17 , 121",IL,Marion County,34716
654,"17 , 123",IL,Marshall County,42709
655,"17 , 125",IL,Mason County,36428
656,"17 , 127",IL,Massac County,34233
657,"17 , 129",IL,Menard County,49088
658,"17 , 131",IL,Mercer County,44244
659,"17 , 133",IL,Monroe County,60910
660,"17 , 135",IL,Montgomery County,34652
661,"17 , 137",IL,Morgan County,37611
662,"17 , 139",IL,Moultrie County,40705
663,"17 , 141",IL,Ogle County,46826
664,"17 , 143",IL,Peoria County,41279
665,"17 , 145",IL,Perry County,34067
666,"17 , 147",IL,Piatt County,47971
667,"17 , 149",IL,Pike County,33191
668,"17 , 151",IL,Pope County,30710
669,"17 , 153",IL,Pulaski County,26668
670,"17 , 155",IL,Putnam County,46857
671,"17 , 157",IL,Randolph County,37323
672,"17 , 159",IL,Richland County,33297
673,"17 , 161",IL,Rock Island County,38734
674,"17 , 163",IL,St. Clair County,40786
675,"17 , 165",IL,Saline County,30273
676,"17 , 167",IL,Sangamon County,44878
677,"17 , 169",IL,Schuyler County,37464
678,"17 , 171",IL,Scott County,37822
679,"17 , 173",IL,Shelby County,37589
680,"17 , 175",IL,Stark County,37506
681,"17 , 177",IL,Stephenson County,40581
682,"17 , 179",IL,Tazewell County,47122
683,"17 , 181",IL,Union County,33105
684,"17 , 183",IL,Vermilion County,34894
685,"17 , 185",IL,Wabash County,36920
686,"17 , 187",IL,Warren County,36525
687,"17 , 189",IL,Washington County,43000
688,"17 , 191",IL,Wayne County,32965
689,"17 , 193",IL,White County,32337
690,"17 , 195",IL,Whiteside County,39308
691,"17 , 197",IL,Will County,63469
692,"17 , 199",IL,Williamson County,34760
693,"17 , 201",IL,Winnebago County,42707
694,"17 , 203",IL,Woodford County,53575
695,"18 , 1",IN,Adams County,42058
696,"18 , 3",IN,Allen County,43059
697,"18 , 5",IN,Bartholomew County,45671
698,"18 , 7",IN,Benton County,39640
699,"18 , 9",IN,Blackford County,36376
700,"18 , 11",IN,Boone County,57515
701,"18 , 13",IN,Brown County,45699
702,"18 , 15",IN,Carroll County,44709
703,"18 , 17",IN,Cass County,38861
704,"18 , 19",IN,Clark County,41578
705,"18 , 21",IN,Clay County,38690
706,"18 , 23",IN,Clinton County,41158
707,"18 , 25",IN,Crawford County,34912
708,"18 , 27",IN,Daviess County,36061
709,"18 , 29",IN,Dearborn County,52765
710,"18 , 31",IN,Decatur County,43059
711,"18 , 33",IN,De Kalb County,45798
712,"18 , 35",IN,Delaware County,35316
713,"18 , 37",IN,Dubois County,49335
714,"18 , 39",IN,Elkhart County,45333
715,"18 , 41",IN,Fayette County,39314
716,"18 , 43",IN,Floyd County,45186
717,"18 , 45",IN,Fountain County,39239
718,"18 , 47",IN,Franklin County,46998
719,"18 , 49",IN,Fulton County,39479
720,"18 , 51",IN,Gibson County,43143
721,"18 , 53",IN,Grant County,36703
722,"18 , 55",IN,Greene County,36463
723,"18 , 57",IN,Hamilton County,80876
724,"18 , 59",IN,Hancock County,58942
725,"18 , 61",IN,Harrison County,45689
726,"18 , 63",IN,Hendricks County,61595
727,"18 , 65",IN,Henry County,40747
728,"18 , 67",IN,Howard County,45952
729,"18 , 69",IN,Huntington County,42351
730,"18 , 71",IN,Jackson County,41585
731,"18 , 73",IN,Jasper County,46027
732,"18 , 75",IN,Jay County,35885
733,"18 , 77",IN,Jefferson County,39813
734,"18 , 79",IN,Jennings County,39551
735,"18 , 81",IN,Johnson County,54109
736,"18 , 83",IN,Knox County,33392
737,"18 , 85",IN,Kosciusko County,47134
738,"18 , 87",IN,Lagrange County,44458
739,"18 , 89",IN,Lake County,39824
740,"18 , 91",IN,La Porte County,40193
741,"18 , 93",IN,Lawrence County,38606
742,"18 , 95",IN,Madison County,39539
743,"18 , 97",IN,Marion County,41478
744,"18 , 99",IN,Marshall County,43051
745,"18 , 101",IN,Martin County,38079
746,"18 , 103",IN,Miami County,39553
747,"18 , 105",IN,Monroe County,35722
748,"18 , 107",IN,Montgomery County,41444
749,"18 , 109",IN,Morgan County,49669
750,"18 , 111",IN,Newton County,40916
751,"18 , 113",IN,Noble County,43217
752,"18 , 115",IN,Ohio County,41587
753,"18 , 117",IN,Orange County,32784
754,"18 , 119",IN,Owen County,37368
755,"18 , 121",IN,Parke County,36370
756,"18 , 123",IN,Perry County,38643
757,"18 , 125",IN,Pike County,37860
758,"18 , 127",IN,Porter County,54803
759,"18 , 129",IN,Posey County,48980
760,"18 , 131",IN,Pulaski County,37066
761,"18 , 133",IN,Putnam County,41313
762,"18 , 135",IN,Randolph County,36925
763,"18 , 137",IN,Ripley County,43657
764,"18 , 139",IN,Rush County,40186
765,"18 , 141",IN,St. Joseph County,40350
766,"18 , 143",IN,Scott County,35901
767,"18 , 145",IN,Shelby County,44255
768,"18 , 147",IN,Spencer County,44550
769,"18 , 149",IN,Starke County,36871
770,"18 , 151",IN,Steuben County,42029
771,"18 , 153",IN,Sullivan County,34374
772,"18 , 155",IN,Switzerland County,36589
773,"18 , 157",IN,Tippecanoe County,39607
774,"18 , 159",IN,Tipton County,49753
775,"18 , 161",IN,Union County,39035
776,"18 , 163",IN,Vanderburgh County,38360
777,"18 , 165",IN,Vermillion County,38282
778,"18 , 167",IN,Vigo County,34630
779,"18 , 169",IN,Wabash County,40647
780,"18 , 171",IN,Warren County,43404
781,"18 , 173",IN,Warrick County,53901
782,"18 , 175",IN,Washington County,37427
783,"18 , 177",IN,Wayne County,35911
784,"18 , 179",IN,Wells County,44382
785,"18 , 181",IN,White County,39566
786,"18 , 183",IN,Whitley County,47499
787,"19 , 1",IA,Adair County,38529
788,"19 , 3",IA,Adams County,32146
789,"19 , 5",IA,Allamakee County,35212
790,"19 , 7",IA,Appanoose County,30273
791,"19 , 9",IA,Audubon County,35650
792,"19 , 11",IA,Benton County,46956
793,"19 , 13",IA,Black Hawk County,39459
794,"19 , 15",IA,Boone County,43704
795,"19 , 17",IA,Bremer County,44830
796,"19 , 19",IA,Buchanan County,40130
797,"19 , 21",IA,Buena Vista County,36530
798,"19 , 23",IA,Butler County,38735
799,"19 , 25",IA,Calhoun County,35369
800,"19 , 27",IA,Carroll County,40594
801,"19 , 29",IA,Cass County,34799
802,"19 , 31",IA,Cedar County,45727
803,"19 , 33",IA,Cerro Gordo County,37902
804,"19 , 35",IA,Cherokee County,37853
805,"19 , 37",IA,Chickasaw County,37562
806,"19 , 39",IA,Clarke County,37500
807,"19 , 41",IA,Clay County,39117
808,"19 , 43",IA,Clayton County,36353
809,"19 , 45",IA,Clinton County,38686
810,"19 , 47",IA,Crawford County,36540
811,"19 , 49",IA,Dallas County,56086
812,"19 , 51",IA,Davis County,34042
813,"19 , 53",IA,Decatur County,28208
814,"19 , 55",IA,Delaware County,40118
815,"19 , 57",IA,Des Moines County,37871
816,"19 , 59",IA,Dickinson County,41645
817,"19 , 61",IA,Dubuque County,41742
818,"19 , 63",IA,Emmet County,35818
819,"19 , 65",IA,Fayette County,33478
820,"19 , 67",IA,Floyd County,37171
821,"19 , 69",IA,Franklin County,37616
822,"19 , 71",IA,Fremont County,39610
823,"19 , 73",IA,Greene County,36187
824,"19 , 75",IA,Grundy County,44540
825,"19 , 77",IA,Guthrie County,39179
826,"19 , 79",IA,Hamilton County,40524
827,"19 , 81",IA,Hancock County,40491
828,"19 , 83",IA,Hardin County,36970
829,"19 , 85",IA,Harrison County,40191
830,"19 , 87",IA,Henry County,40007
831,"19 , 89",IA,Howard County,37144
832,"19 , 91",IA,Humboldt County,39676
833,"19 , 93",IA,Ida County,37479
834,"19 , 95",IA,Iowa County,44411
835,"19 , 97",IA,Jackson County,36671
836,"19 , 99",IA,Jasper County,44833
837,"19 , 101",IA,Jefferson County,33859
838,"19 , 103",IA,Johnson County,43989
839,"19 , 105",IA,Jones County,38408
840,"19 , 107",IA,Keokuk County,36291
841,"19 , 109",IA,Kossuth County,37940
842,"19 , 111",IA,Lee County,36645
843,"19 , 113",IA,Linn County,47044
844,"19 , 115",IA,Louisa County,41256
845,"19 , 117",IA,Lucas County,32687
846,"19 , 119",IA,Lyon County,39462
847,"19 , 121",IA,Madison County,46508
848,"19 , 123",IA,Mahaska County,38740
849,"19 , 125",IA,Marion County,44594
850,"19 , 127",IA,Marshall County,39962
851,"19 , 129",IA,Mills County,44758
852,"19 , 131",IA,Mitchell County,37024
853,"19 , 133",IA,Monona County,33628
854,"19 , 135",IA,Monroe County,35476
855,"19 , 137",IA,Montgomery County,34346
856,"19 , 139",IA,Muscatine County,44460
857,"19 , 141",IA,O'Brien County,38586
858,"19 , 143",IA,Osceola County,35806
859,"19 , 145",IA,Page County,36031
860,"19 , 147",IA,Palo Alto County,33721
861,"19 , 149",IA,Plymouth County,45487
862,"19 , 151",IA,Pocahontas County,34374
863,"19 , 153",IA,Polk County,49342
864,"19 , 155",IA,Pottawattamie County,40779
865,"19 , 157",IA,Poweshiek County,40009
866,"19 , 159",IA,Ringgold County,29806
867,"19 , 161",IA,Sac County,34970
868,"19 , 163",IA,Scott County,45751
869,"19 , 165",IA,Shelby County,39672
870,"19 , 167",IA,Sioux County,44614
871,"19 , 169",IA,Story County,42298
872,"19 , 171",IA,Tama County,39052
873,"19 , 173",IA,Taylor County,32404
874,"19 , 175",IA,Union County,32838
875,"19 , 177",IA,Van Buren County,32172
876,"19 , 179",IA,Wapello County,34515
877,"19 , 181",IA,Warren County,53548
878,"19 , 183",IA,Washington County,41765
879,"19 , 185",IA,Wayne County,30294
880,"19 , 187",IA,Webster County,37140
881,"19 , 189",IA,Winnebago County,40362
882,"19 , 191",IA,Winneshiek County,40344
883,"19 , 193",IA,Woodbury County,38133
884,"19 , 195",IA,Worth County,37120
885,"19 , 197",IA,Wright County,38716
886,"20 , 1",KS,Allen County,32416
887,"20 , 3",KS,Anderson County,35002
888,"20 , 5",KS,Atchison County,36022
889,"20 , 7",KS,Barber County,35331
890,"20 , 9",KS,Barton County,34423
891,"20 , 11",KS,Bourbon County,32400
892,"20 , 13",KS,Brown County,33565
893,"20 , 15",KS,Butler County,48208
894,"20 , 17",KS,Chase County,32716
895,"20 , 19",KS,Chautauqua County,30507
896,"20 , 21",KS,Cherokee County,32185
897,"20 , 23",KS,Cheyenne County,28175
898,"20 , 25",KS,Clark County,34592
899,"20 , 27",KS,Clay County,35111
900,"20 , 29",KS,Cloud County,32371
901,"20 , 31",KS,Coffey County,41485
902,"20 , 33",KS,Comanche County,31743
903,"20 , 35",KS,Cowley County,36025
904,"20 , 37",KS,Crawford County,30858
905,"20 , 39",KS,Decatur County,29399
906,"20 , 41",KS,Dickinson County,37192
907,"20 , 43",KS,Doniphan County,33841
908,"20 , 45",KS,Douglas County,39000
909,"20 , 47",KS,Edwards County,31170
910,"20 , 49",KS,Elk County,27704
911,"20 , 51",KS,Ellis County,35440
912,"20 , 53",KS,Ellsworth County,36018
913,"20 , 55",KS,Finney County,37262
914,"20 , 57",KS,Ford County,36464
915,"20 , 59",KS,Franklin County,41194
916,"20 , 61",KS,Geary County,32910
917,"20 , 63",KS,Gove County,32376
918,"20 , 65",KS,Graham County,33103
919,"20 , 67",KS,Grant County,42648
920,"20 , 69",KS,Gray County,39741
921,"20 , 71",KS,Greeley County,34813
922,"20 , 73",KS,Greenwood County,30340
923,"20 , 75",KS,Hamilton County,34028
924,"20 , 77",KS,Harper County,31845
925,"20 , 79",KS,Harvey County,42799
926,"20 , 81",KS,Haskell County,38333
927,"20 , 83",KS,Hodgeman County,34358
928,"20 , 85",KS,Jackson County,42210
929,"20 , 87",KS,Jefferson County,46632
930,"20 , 89",KS,Jewell County,31069
931,"20 , 91",KS,Johnson County,66783
932,"20 , 93",KS,Kearny County,38460
933,"20 , 95",KS,Kingman County,39308
934,"20 , 97",KS,Kiowa County,34818
935,"20 , 99",KS,Labette County,31651
936,"20 , 101",KS,Lane County,35938
937,"20 , 103",KS,Leavenworth County,50755
938,"20 , 105",KS,Lincoln County,31108
939,"20 , 107",KS,Linn County,35889
940,"20 , 109",KS,Logan County,33570
941,"20 , 111",KS,Lyon County,33946
942,"20 , 113",KS,McPherson County,43628
943,"20 , 115",KS,Marion County,35185
944,"20 , 117",KS,Marshall County,34749
945,"20 , 119",KS,Meade County,35875
946,"20 , 121",KS,Miami County,48984
947,"20 , 123",KS,Mitchell County,34770
948,"20 , 125",KS,Montgomery County,32391
949,"20 , 127",KS,Morris County,35757
950,"20 , 129",KS,Morton County,38861
951,"20 , 131",KS,Nemaha County,35794
952,"20 , 133",KS,Neosho County,33643
953,"20 , 135",KS,Ness County,36260
954,"20 , 137",KS,Norton County,31223
955,"20 , 139",KS,Osage County,39370
956,"20 , 141",KS,Osborne County,29675
957,"20 , 143",KS,Ottawa County,40582
958,"20 , 145",KS,Pawnee County,33595
959,"20 , 147",KS,Phillips County,35240
960,"20 , 149",KS,Pottawatomie County,44751
961,"20 , 151",KS,Pratt County,36842
962,"20 , 153",KS,Rawlins County,31254
963,"20 , 155",KS,Reno County,35978
964,"20 , 157",KS,Republic County,30263
965,"20 , 159",KS,Rice County,34194
966,"20 , 161",KS,Riley County,33399
967,"20 , 163",KS,Rooks County,31829
968,"20 , 165",KS,Rush County,32255
969,"20 , 167",KS,Russell County,29270
970,"20 , 169",KS,Saline County,38325
971,"20 , 171",KS,Scott County,39825
972,"20 , 173",KS,Sedgwick County,43940
973,"20 , 175",KS,Seward County,36656
974,"20 , 177",KS,Shawnee County,42543
975,"20 , 179",KS,Sheridan County,34483
976,"20 , 181",KS,Sherman County,30479
977,"20 , 183",KS,Smith County,29599
978,"20 , 185",KS,Stafford County,31319
979,"20 , 187",KS,Stanton County,36977
980,"20 , 189",KS,Stevens County,40341
981,"20 , 191",KS,Sumner County,39569
982,"20 , 193",KS,Thomas County,36545
983,"20 , 195",KS,Trego County,30260
984,"20 , 197",KS,Wabaunsee County,42142
985,"20 , 199",KS,Wallace County,32245
986,"20 , 201",KS,Washington County,30663
987,"20 , 203",KS,Wichita County,33396
988,"20 , 205",KS,Wilson County,31356
989,"20 , 207",KS,Woodson County,26477
990,"20 , 209",KS,Wyandotte County,32995
991,"21 , 1",KY,Adair County,25266
992,"21 , 3",KY,Allen County,33839
993,"21 , 5",KY,Anderson County,47435
994,"21 , 7",KY,Ballard County,35052
995,"21 , 9",KY,Barren County,32932
996,"21 , 11",KY,Bath County,28484
997,"21 , 13",KY,Bell County,21257
998,"21 , 15",KY,Boone County,57704
999,"21 , 17",KY,Bourbon County,36768
1000,"21 , 19",KY,Boyd County,34699
1001,"21 , 21",KY,Boyle County,36750
1002,"21 , 23",KY,Bracken County,37379
1003,"21 , 25",KY,Breathitt County,21932
1004,"21 , 27",KY,Breckinridge County,33250
1005,"21 , 29",KY,Bullitt County,48192
1006,"21 , 31",KY,Butler County,30696
1007,"21 , 33",KY,Caldwell County,31393
1008,"21 , 35",KY,Calloway County,31082
1009,"21 , 37",KY,Campbell County,43779
1010,"21 , 39",KY,Carlisle County,32397
1011,"21 , 41",KY,Carroll County,38807
1012,"21 , 43",KY,Carter County,29100
1013,"21 , 45",KY,Casey County,24201
1014,"21 , 47",KY,Christian County,31108
1015,"21 , 49",KY,Clark County,41627
1016,"21 , 51",KY,Clay County,18835
1017,"21 , 53",KY,Clinton County,22994
1018,"21 , 55",KY,Crittenden County,30043
1019,"21 , 57",KY,Cumberland County,22874
1020,"21 , 59",KY,Daviess County,39120
1021,"21 , 61",KY,Edmonson County,29147
1022,"21 , 63",KY,Elliott County,24159
1023,"21 , 65",KY,Estill County,25660
1024,"21 , 67",KY,Fayette County,40896
1025,"21 , 69",KY,Fleming County,29857
1026,"21 , 71",KY,Floyd County,24310
1027,"21 , 73",KY,Franklin County,42265
1028,"21 , 75",KY,Fulton County,26706
1029,"21 , 77",KY,Gallatin County,34999
1030,"21 , 79",KY,Garrard County,37900
1031,"21 , 81",KY,Grant County,41213
1032,"21 , 83",KY,Graves County,32636
1033,"21 , 85",KY,Grayson County,29315
1034,"21 , 87",KY,Green County,27378
1035,"21 , 89",KY,Greenup County,34531
1036,"21 , 91",KY,Hancock County,41640
1037,"21 , 93",KY,Hardin County,42184
1038,"21 , 95",KY,Harlan County,21802
1039,"21 , 97",KY,Harrison County,37776
1040,"21 , 99",KY,Hart County,26637
1041,"21 , 101",KY,Henderson County,38247
1042,"21 , 103",KY,Henry County,38359
1043,"21 , 105",KY,Hickman County,32621
1044,"21 , 107",KY,Hopkins County,33341
1045,"21 , 109",KY,Jackson County,22271
1046,"21 , 111",KY,Jefferson County,43210
1047,"21 , 113",KY,Jessamine County,41257
1048,"21 , 115",KY,Johnson County,27838
1049,"21 , 117",KY,Kenton County,46730
1050,"21 , 119",KY,Knott County,23662
1051,"21 , 121",KY,Knox County,22239
1052,"21 , 123",KY,Larue County,34241
1053,"21 , 125",KY,Laurel County,29581
1054,"21 , 127",KY,Lawrence County,25170
1055,"21 , 129",KY,Lee County,20974
1056,"21 , 131",KY,Leslie County,21163
1057,"21 , 133",KY,Letcher County,24911
1058,"21 , 135",KY,Lewis County,24211
1059,"21 , 137",KY,Lincoln County,29023
1060,"21 , 139",KY,Livingston County,33605
1061,"21 , 141",KY,Logan County,33670
1062,"21 , 143",KY,Lyon County,33975
1063,"21 , 145",KY,McCracken County,35695
1064,"21 , 147",KY,McCreary County,20843
1065,"21 , 149",KY,McLean County,31825
1066,"21 , 151",KY,Madison County,35586
1067,"21 , 153",KY,Magoffin County,22729
1068,"21 , 155",KY,Marion County,33210
1069,"21 , 157",KY,Marshall County,37156
1070,"21 , 159",KY,Martin County,22301
1071,"21 , 161",KY,Mason County,33143
1072,"21 , 163",KY,Meade County,40269
1073,"21 , 165",KY,Menifee County,24628
1074,"21 , 167",KY,Mercer County,37616
1075,"21 , 169",KY,Metcalfe County,25471
1076,"21 , 171",KY,Monroe County,23891
1077,"21 , 173",KY,Montgomery County,34426
1078,"21 , 175",KY,Morgan County,24434
1079,"21 , 177",KY,Muhlenberg County,30458
1080,"21 , 179",KY,Nelson County,42742
1081,"21 , 181",KY,Nicholas County,31233
1082,"21 , 183",KY,Ohio County,32194
1083,"21 , 185",KY,Oldham County,66174
1084,"21 , 187",KY,Owen County,33783
1085,"21 , 189",KY,Owsley County,17434
1086,"21 , 191",KY,Pendleton County,39075
1087,"21 , 193",KY,Perry County,25155
1088,"21 , 195",KY,Pike County,26530
1089,"21 , 197",KY,Powell County,27678
1090,"21 , 199",KY,Pulaski County,29591
1091,"21 , 201",KY,Robertson County,30014
1092,"21 , 203",KY,Rockcastle County,25983
1093,"21 , 205",KY,Rowan County,30471
1094,"21 , 207",KY,Russell County,24635
1095,"21 , 209",KY,Scott County,49974
1096,"21 , 211",KY,Shelby County,47066
1097,"21 , 213",KY,Simpson County,38454
1098,"21 , 215",KY,Spencer County,51991
1099,"21 , 217",KY,Taylor County,30407
1100,"21 , 219",KY,Todd County,31085
1101,"21 , 221",KY,Trigg County,37424
1102,"21 , 223",KY,Trimble County,38851
1103,"21 , 225",KY,Union County,35791
1104,"21 , 227",KY,Warren County,37555
1105,"21 , 229",KY,Washington County,34783
1106,"21 , 231",KY,Wayne County,23796
1107,"21 , 233",KY,Webster County,34210
1108,"21 , 235",KY,Whitley County,23970
1109,"21 , 237",KY,Wolfe County,20326
1110,"21 , 239",KY,Woodford County,48515
1111,"22 , 1",LA,Acadia Parish,29671
1112,"22 , 3",LA,Allen Parish,28552
1113,"22 , 5",LA,Ascension Parish,47959
1114,"22 , 7",LA,Assumption Parish,35296
1115,"22 , 9",LA,Avoyelles Parish,25490
1116,"22 , 11",LA,Beauregard Parish,34447
1117,"22 , 13",LA,Bienville Parish,25695
1118,"22 , 15",LA,Bossier Parish,40631
1119,"22 , 17",LA,Caddo Parish,32652
1120,"22 , 19",LA,Calcasieu Parish,36646
1121,"22 , 21",LA,Caldwell Parish,27934
1122,"22 , 23",LA,Cameron Parish,36132
1123,"22 , 25",LA,Catahoula Parish,24456
1124,"22 , 27",LA,Claiborne Parish,26888
1125,"22 , 29",LA,Concordia Parish,24480
1126,"22 , 31",LA,De Soto Parish,29875
1127,"22 , 33",LA,East Baton Rouge Parish,37297
1128,"22 , 35",LA,East Carroll Parish,20412
1129,"22 , 37",LA,East Feliciana Parish,31345
1130,"22 , 39",LA,Evangeline Parish,23688
1131,"22 , 41",LA,Franklin Parish,24275
1132,"22 , 43",LA,Grant Parish,31367
1133,"22 , 45",LA,Iberia Parish,33060
1134,"22 , 47",LA,Iberville Parish,30240
1135,"22 , 49",LA,Jackson Parish,30774
1136,"22 , 51",LA,Jefferson Parish,38077
1137,"22 , 53",LA,Jefferson Davis Parish,30561
1138,"22 , 55",LA,Lafayette Parish,39095
1139,"22 , 57",LA,Lafourche Parish,38360
1140,"22 , 59",LA,La Salle Parish,30556
1141,"22 , 61",LA,Lincoln Parish,28453
1142,"22 , 63",LA,Livingston Parish,42006
1143,"22 , 65",LA,Madison Parish,22559
1144,"22 , 67",LA,Morehouse Parish,26302
1145,"22 , 69",LA,Natchitoches Parish,27364
1146,"22 , 71",LA,Orleans Parish,27478
1147,"22 , 73",LA,Ouachita Parish,32808
1148,"22 , 75",LA,Plaquemines Parish,38343
1149,"22 , 77",LA,Pointe Coupee Parish,31886
1150,"22 , 79",LA,Rapides Parish,31715
1151,"22 , 81",LA,Red River Parish,24294
1152,"22 , 83",LA,Richland Parish,24962
1153,"22 , 85",LA,Sabine Parish,29623
1154,"22 , 87",LA,St. Bernard Parish,36208
1155,"22 , 89",LA,St. Charles Parish,45492
1156,"22 , 91",LA,St. Helena Parish,29026
1157,"22 , 93",LA,St. James Parish,36353
1158,"22 , 95",LA,St. John the Baptist Parish,39034
1159,"22 , 97",LA,St. Landry Parish,25659
1160,"22 , 99",LA,St. Martin Parish,31020
1161,"22 , 101",LA,St. Mary Parish,31514
1162,"22 , 103",LA,St. Tammany Parish,51251
1163,"22 , 105",LA,Tangipahoa Parish,30050
1164,"22 , 107",LA,Tensas Parish,21388
1165,"22 , 109",LA,Terrebonne Parish,37431
1166,"22 , 111",LA,Union Parish,29730
1167,"22 , 113",LA,Vermilion Parish,31685
1168,"22 , 115",LA,Vernon Parish,33708
1169,"22 , 117",LA,Washington Parish,25155
1170,"22 , 119",LA,Webster Parish,29536
1171,"22 , 121",LA,West Baton Rouge Parish,36698
1172,"22 , 123",LA,West Carroll Parish,26541
1173,"22 , 125",LA,West Feliciana Parish,37119
1174,"22 , 127",LA,Winn Parish,26626
1175,"23 , 1",ME,Androscoggin County,38105
1176,"23 , 3",ME,Aroostook County,31556
1177,"23 , 5",ME,Cumberland County,47729
1178,"23 , 7",ME,Franklin County,34010
1179,"23 , 9",ME,Hancock County,37991
1180,"23 , 11",ME,Kennebec County,38507
1181,"23 , 13",ME,Knox County,39952
1182,"23 , 15",ME,Lincoln County,40832
1183,"23 , 17",ME,Oxford County,35243
1184,"23 , 19",ME,Penobscot County,36562
1185,"23 , 21",ME,Piscataquis County,30847
1186,"23 , 23",ME,Sagadahoc County,44832
1187,"23 , 25",ME,Somerset County,32154
1188,"23 , 27",ME,Waldo County,36708
1189,"23 , 29",ME,Washington County,28380
1190,"23 , 31",ME,York County,47070
1191,"24 , 1",MD,Allegany County,32560
1192,"24 , 3",MD,Anne Arundel County,64362
1193,"24 , 5",MD,Baltimore County,50256
1194,"24 , 9",MD,Calvert County,71570
1195,"24 , 11",MD,Caroline County,39288
1196,"24 , 13",MD,Carroll County,66674
1197,"24 , 15",MD,Cecil County,52858
1198,"24 , 17",MD,Charles County,66031
1199,"24 , 19",MD,Dorchester County,34689
1200,"24 , 21",MD,Frederick County,66514
1201,"24 , 23",MD,Garrett County,34648
1202,"24 , 25",MD,Harford County,62000
1203,"24 , 27",MD,Howard County,79607
1204,"24 , 29",MD,Kent County,41707
1205,"24 , 31",MD,Montgomery County,76669
1206,"24 , 33",MD,Prince George's County,53716
1207,"24 , 35",MD,Queen Anne's County,61107
1208,"24 , 37",MD,St. Mary's County,58742
1209,"24 , 39",MD,Somerset County,29546
1210,"24 , 41",MD,Talbot County,48105
1211,"24 , 43",MD,Washington County,43931
1212,"24 , 45",MD,Wicomico County,40102
1213,"24 , 47",MD,Worcester County,42165
1214,"24 , 510",MD,Baltimore city,29162
1215,"25 , 1",MA,Barnstable County,47915
1216,"25 , 3",MA,Berkshire County,40326
1217,"25 , 5",MA,Bristol County,44883
1218,"25 , 7",MA,Dukes County,49292
1219,"25 , 9",MA,Essex County,50731
1220,"25 , 11",MA,Franklin County,42305
1221,"25 , 13",MA,Hampden County,39938
1222,"25 , 15",MA,Hampshire County,46782
1223,"25 , 17",MA,Middlesex County,62054
1224,"25 , 19",MA,Nantucket County,55510
1225,"25 , 21",MA,Norfolk County,64599
1226,"25 , 23",MA,Plymouth County,57381
1227,"25 , 25",MA,Suffolk County,40089
1228,"25 , 27",MA,Worcester County,49932
1229,"26 , 1",MI,Alcona County,31116
1230,"26 , 3",MI,Alger County,35623
1231,"26 , 5",MI,Allegan County,46735
1232,"26 , 7",MI,Alpena County,34606
1233,"26 , 9",MI,Antrim County,39390
1234,"26 , 11",MI,Arenac County,32740
1235,"26 , 13",MI,Baraga County,32163
1236,"26 , 15",MI,Barry County,48362
1237,"26 , 17",MI,Bay County,39229
1238,"26 , 19",MI,Benzie County,39565
1239,"26 , 21",MI,Berrien County,38512
1240,"26 , 23",MI,Branch County,38331
1241,"26 , 25",MI,Calhoun County,39211
1242,"26 , 27",MI,Cass County,41459
1243,"26 , 29",MI,Charlevoix County,41899
1244,"26 , 31",MI,Cheboygan County,34411
1245,"26 , 33",MI,Chippewa County,33593
1246,"26 , 35",MI,Clare County,30094
1247,"26 , 37",MI,Clinton County,55421
1248,"26 , 39",MI,Crawford County,32836
1249,"26 , 41",MI,Delta County,37296
1250,"26 , 43",MI,Dickinson County,37808
1251,"26 , 45",MI,Eaton County,51079
1252,"26 , 47",MI,Emmet County,42867
1253,"26 , 49",MI,Genesee County,40305
1254,"26 , 51",MI,Gladwin County,33463
1255,"26 , 53",MI,Gogebic County,28284
1256,"26 , 55",MI,Grand Traverse County,43898
1257,"26 , 57",MI,Gratiot County,37276
1258,"26 , 59",MI,Hillsdale County,40135
1259,"26 , 61",MI,Houghton County,30092
1260,"26 , 63",MI,Huron County,35877
1261,"26 , 65",MI,Ingham County,41093
1262,"26 , 67",MI,Ionia County,43870
1263,"26 , 69",MI,Iosco County,31295
1264,"26 , 71",MI,Iron County,30097
1265,"26 , 73",MI,Isabella County,35118
1266,"26 , 75",MI,Jackson County,42622
1267,"26 , 77",MI,Kalamazoo County,42266
1268,"26 , 79",MI,Kalkaska County,35531
1269,"26 , 81",MI,Kent County,46985
1270,"26 , 83",MI,Keweenaw County,29907
1271,"26 , 85",MI,Lake County,27501
1272,"26 , 87",MI,Lapeer County,51896
1273,"26 , 89",MI,Leelanau County,50211
1274,"26 , 91",MI,Lenawee County,47188
1275,"26 , 93",MI,Livingston County,71509
1276,"26 , 95",MI,Luce County,31921
1277,"26 , 97",MI,Mackinac County,33876
1278,"26 , 99",MI,Macomb County,51782
1279,"26 , 101",MI,Manistee County,35296
1280,"26 , 103",MI,Marquette County,37082
1281,"26 , 105",MI,Mason County,35657
1282,"26 , 107",MI,Mecosta County,34827
1283,"26 , 109",MI,Menominee County,34577
1284,"26 , 111",MI,Midland County,48708
1285,"26 , 113",MI,Missaukee County,34452
1286,"26 , 115",MI,Monroe County,52638
1287,"26 , 117",MI,Montcalm County,38681
1288,"26 , 119",MI,Montmorency County,30452
1289,"26 , 121",MI,Muskegon County,37726
1290,"26 , 123",MI,Newaygo County,38488
1291,"26 , 125",MI,Oakland County,63658
1292,"26 , 127",MI,Oceana County,36768
1293,"26 , 129",MI,Ogemaw County,31137
